model,num_characters,num_actions,question_type,question,expected,predicted,correct,story_len
gpt-4.1,3,10,location,Where is Ivy?,bathroom,bathroom,True,364.0
gpt-4.1,3,10,mood,How does Ivy feel?,confident,confident,True,364.0
gpt-4.1,3,10,holding,What is Ivy holding?,nothing,nothing,True,364.0
gpt-4.1,3,10,location,Where is Oscar?,office,office,True,364.0
gpt-4.1,3,10,mood,How does Oscar feel?,nervous,nervous,True,364.0
gpt-4.1,3,10,holding,What is Oscar holding?,nothing,nothing,True,364.0
gpt-4.1,3,10,location,Where is Oscar?,kitchen,kitchen,True,353.0
gpt-4.1,3,10,mood,How does Oscar feel?,sad,sad,True,353.0
gpt-4.1,3,10,holding,What is Oscar holding?,book,book,True,353.0
gpt-4.1,3,10,location,Where is Tyler?,garden,garden,True,353.0
gpt-4.1,3,10,mood,How does Tyler feel?,sad,sad,True,353.0
gpt-4.1,3,10,holding,What is Tyler holding?,bag,bag,True,353.0
gpt-4.1,3,10,location,Where is Frank?,basement,basement,True,353.0
gpt-4.1,3,10,mood,How does Frank feel?,nervous,nervous,True,353.0
gpt-4.1,3,10,holding,What is Frank holding?,book,book,True,353.0
gpt-4.1,3,20,location,Where is Olivia?,basement,basement,True,606.0
gpt-4.1,3,20,mood,How does Olivia feel?,sad,sad,True,606.0
gpt-4.1,3,20,holding,What is Olivia holding?,bag,bag,True,606.0
gpt-4.1,3,20,location,Where is Xavier?,library,library,True,606.0
gpt-4.1,3,20,mood,How does Xavier feel?,confident,confident,True,606.0
gpt-4.1,3,20,holding,What is Xavier holding?,hat,hat,True,606.0
gpt-4.1,3,20,location,Where is Zack?,kitchen,kitchen,True,606.0
gpt-4.1,3,20,mood,How does Zack feel?,nervous,nervous,True,606.0
gpt-4.1,3,20,holding,What is Zack holding?,phone,phone,True,606.0
gpt-4.1,3,20,location,Where is Sam?,kitchen,kitchen,True,611.0
gpt-4.1,3,20,mood,How does Sam feel?,excited,excited,True,611.0
gpt-4.1,3,20,holding,What is Sam holding?,hat,hat,True,611.0
gpt-4.1,3,20,location,Where is Oscar?,library,library,True,611.0
gpt-4.1,3,20,mood,How does Oscar feel?,curious,curious,True,611.0
gpt-4.1,3,20,holding,What is Oscar holding?,umbrella,umbrella,True,611.0
gpt-4.1,3,20,location,Where is Henry?,basement,basement,True,611.0
gpt-4.1,3,20,mood,How does Henry feel?,sad,sad,True,611.0
gpt-4.1,3,20,holding,What is Henry holding?,nothing,nothing,True,611.0
gpt-4.1,3,20,location,Where is Quinn?,kitchen,kitchen,True,606.0
gpt-4.1,3,20,mood,How does Quinn feel?,nervous,nervous,True,606.0
gpt-4.1,3,20,holding,What is Quinn holding?,nothing,nothing,True,606.0
gpt-4.1,3,20,location,Where is Carol?,kitchen,kitchen,True,606.0
gpt-4.1,3,20,mood,How does Carol feel?,curious,curious,True,606.0
gpt-4.1,3,20,holding,What is Carol holding?,apple,apple,True,606.0
gpt-4.1,3,20,location,Where is Alice?,bathroom,bathroom,True,606.0
gpt-4.1,3,20,mood,How does Alice feel?,curious,curious,True,606.0
gpt-4.1,3,20,holding,What is Alice holding?,nothing,nothing,True,606.0
gpt-4.1,4,5,location,Where is Max?,basement,basement,True,286.0
gpt-4.1,4,5,mood,How does Max feel?,calm,calm,True,286.0
gpt-4.1,4,5,holding,What is Max holding?,nothing,nothing,True,286.0
gpt-4.1,4,5,location,Where is Victor?,hallway,hallway,True,286.0
gpt-4.1,4,5,mood,How does Victor feel?,curious,curious,True,286.0
gpt-4.1,4,5,holding,What is Victor holding?,nothing,nothing,True,286.0
gpt-4.1,4,5,location,Where is Noah?,office,office,True,286.0
gpt-4.1,4,5,mood,How does Noah feel?,confident,confident,True,286.0
gpt-4.1,4,5,holding,What is Noah holding?,nothing,nothing,True,286.0
gpt-4.1,4,5,location,Where is Emma?,basement,basement,True,286.0
gpt-4.1,4,5,mood,How does Emma feel?,happy,happy,True,286.0
gpt-4.1,4,5,holding,What is Emma holding?,nothing,nothing,True,286.0
gpt-4.1,4,5,location,Where is Jack?,bathroom,bathroom,True,288.0
gpt-4.1,4,5,mood,How does Jack feel?,happy,happy,True,288.0
gpt-4.1,4,5,holding,What is Jack holding?,apple,apple,True,288.0
gpt-4.1,4,5,location,Where is Mia?,bathroom,bathroom,True,288.0
gpt-4.1,4,5,mood,How does Mia feel?,curious,curious,True,288.0
gpt-4.1,4,5,holding,What is Mia holding?,nothing,nothing,True,288.0
gpt-4.1,4,5,location,Where is Kate?,hallway,hallway,True,288.0
gpt-4.1,4,5,mood,How does Kate feel?,calm,calm,True,288.0
gpt-4.1,4,5,holding,What is Kate holding?,umbrella,umbrella,True,288.0
gpt-4.1,4,5,location,Where is Luna?,bathroom,bathroom,True,288.0
gpt-4.1,4,5,mood,How does Luna feel?,tired,tired,True,288.0
gpt-4.1,4,5,holding,What is Luna holding?,nothing,nothing,True,288.0
gpt-4.1,4,5,location,Where is Zack?,library,library,True,281.0
gpt-4.1,4,5,mood,How does Zack feel?,sad,sad,True,281.0
gpt-4.1,4,5,holding,What is Zack holding?,nothing,nothing,True,281.0
gpt-4.1,4,5,location,Where is Ruby?,kitchen,kitchen,True,281.0
gpt-4.1,4,5,mood,How does Ruby feel?,nervous,nervous,True,281.0
gpt-4.1,4,5,holding,What is Ruby holding?,nothing,nothing,True,281.0
gpt-4.1,4,5,location,Where is Mia?,basement,basement,True,281.0
gpt-4.1,4,5,mood,How does Mia feel?,nervous,nervous,True,281.0
gpt-4.1,4,5,holding,What is Mia holding?,nothing,nothing,True,281.0
gpt-4.1,4,5,location,Where is Alice?,library,library,True,281.0
gpt-4.1,4,5,mood,How does Alice feel?,calm,calm,True,281.0
gpt-4.1,4,5,holding,What is Alice holding?,nothing,nothing,True,281.0
gpt-4.1,4,10,location,Where is Olivia?,bathroom,bathroom,True,403.0
gpt-4.1,4,10,mood,How does Olivia feel?,nervous,nervous,True,403.0
gpt-4.1,4,10,holding,What is Olivia holding?,nothing,nothing,True,403.0
gpt-4.1,4,10,location,Where is Xavier?,library,library,True,403.0
gpt-4.1,4,10,mood,How does Xavier feel?,calm,calm,True,403.0
gpt-4.1,4,10,holding,What is Xavier holding?,nothing,nothing,True,403.0
gpt-4.1,4,10,location,Where is Zack?,library,library,True,403.0
gpt-4.1,4,10,mood,How does Zack feel?,tired,tired,True,403.0
gpt-4.1,4,10,holding,What is Zack holding?,ball,ball,True,403.0
gpt-4.1,4,10,location,Where is Tyler?,garden,garden,True,403.0
gpt-4.1,4,10,mood,How does Tyler feel?,nervous,nervous,True,403.0
gpt-4.1,4,10,holding,What is Tyler holding?,nothing,nothing,True,403.0
gpt-4.1,4,10,location,Where is Sam?,bedroom,bedroom,True,373.0
gpt-4.1,4,10,mood,How does Sam feel?,nervous,nervous,True,373.0
gpt-4.1,4,10,holding,What is Sam holding?,nothing,nothing,True,373.0
gpt-4.1,4,10,location,Where is Oscar?,library,library,True,373.0
gpt-4.1,4,10,mood,How does Oscar feel?,sad,sad,True,373.0
gpt-4.1,4,10,holding,What is Oscar holding?,nothing,nothing,True,373.0
gpt-4.1,4,10,location,Where is Henry?,basement,basement,True,373.0
gpt-4.1,4,10,mood,How does Henry feel?,calm,calm,True,373.0
gpt-4.1,4,10,holding,What is Henry holding?,nothing,nothing,True,373.0
gpt-4.1,4,10,location,Where is David?,library,library,True,373.0
gpt-4.1,4,10,mood,How does David feel?,nervous,nervous,True,373.0
gpt-4.1,4,10,holding,What is David holding?,nothing,nothing,True,373.0
gpt-4.1,4,10,location,Where is Quinn?,basement,basement,True,411.0
gpt-4.1,4,10,mood,How does Quinn feel?,curious,curious,True,411.0
gpt-4.1,4,10,holding,What is Quinn holding?,nothing,nothing,True,411.0
gpt-4.1,4,10,location,Where is Carol?,garden,garden,True,411.0
gpt-4.1,4,10,mood,How does Carol feel?,nervous,nervous,True,411.0
gpt-4.1,4,10,holding,What is Carol holding?,nothing,nothing,True,411.0
gpt-4.1,4,10,location,Where is Alice?,kitchen,kitchen,True,411.0
gpt-4.1,4,10,mood,How does Alice feel?,excited,excited,True,411.0
gpt-4.1,4,10,holding,What is Alice holding?,nothing,nothing,True,411.0
gpt-4.1,4,10,location,Where is Yara?,kitchen,kitchen,True,411.0
gpt-4.1,4,10,mood,How does Yara feel?,tired,tired,True,411.0
gpt-4.1,4,10,holding,What is Yara holding?,nothing,nothing,True,411.0
gpt-4.1,4,20,location,Where is Liam?,bedroom,bedroom,True,625.0
gpt-4.1,4,20,mood,How does Liam feel?,happy,happy,True,625.0
gpt-4.1,4,20,holding,What is Liam holding?,book,book,True,625.0
gpt-4.1,4,20,location,Where is Rachel?,kitchen,kitchen,True,625.0
gpt-4.1,4,20,mood,How does Rachel feel?,excited,excited,True,625.0
gpt-4.1,4,20,holding,What is Rachel holding?,nothing,nothing,True,625.0
gpt-4.1,4,20,location,Where is Kate?,bathroom,bathroom,True,625.0
gpt-4.1,4,20,mood,How does Kate feel?,nervous,nervous,True,625.0
gpt-4.1,4,20,holding,What is Kate holding?,book,book,True,625.0
gpt-4.1,4,20,location,Where is Uma?,bathroom,bathroom,True,625.0
gpt-4.1,4,20,mood,How does Uma feel?,calm,calm,True,625.0
gpt-4.1,4,20,holding,What is Uma holding?,nothing,nothing,True,625.0
gpt-4.1,4,20,location,Where is Victor?,bedroom,bedroom,True,639.0
gpt-4.1,4,20,mood,How does Victor feel?,calm,calm,True,639.0
gpt-4.1,4,20,holding,What is Victor holding?,nothing,nothing,True,639.0
gpt-4.1,4,20,location,Where is Liam?,hallway,hallway,True,639.0
gpt-4.1,4,20,mood,How does Liam feel?,tired,tired,True,639.0
gpt-4.1,4,20,holding,What is Liam holding?,ball,ball,True,639.0
gpt-4.1,4,20,location,Where is Alice?,garden,garden,True,639.0
gpt-4.1,4,20,mood,How does Alice feel?,happy,happy,True,639.0
gpt-4.1,4,20,holding,What is Alice holding?,bag,bag,True,639.0
gpt-4.1,4,20,location,Where is Ruby?,basement,basement,True,639.0
gpt-4.1,4,20,mood,How does Ruby feel?,calm,calm,True,639.0
gpt-4.1,4,20,holding,What is Ruby holding?,nothing,nothing,True,639.0
gpt-4.1,4,20,location,Where is Liam?,hallway,hallway,True,624.0
gpt-4.1,4,20,mood,How does Liam feel?,happy,happy,True,624.0
gpt-4.1,4,20,holding,What is Liam holding?,umbrella,umbrella,True,624.0
gpt-4.1,4,20,location,Where is Henry?,basement,basement,True,624.0
gpt-4.1,4,20,mood,How does Henry feel?,tired,tired,True,624.0
gpt-4.1,4,20,holding,What is Henry holding?,nothing,nothing,True,624.0
gpt-4.1,4,20,location,Where is Bob?,garden,garden,True,624.0
gpt-4.1,4,20,mood,How does Bob feel?,excited,excited,True,624.0
gpt-4.1,4,20,holding,What is Bob holding?,book,book,True,624.0
gpt-4.1,4,20,location,Where is Victor?,library,library,True,624.0
gpt-4.1,4,20,mood,How does Victor feel?,excited,excited,True,624.0
gpt-4.1,4,20,holding,What is Victor holding?,key,key,True,624.0
gpt-4.1,5,5,location,Where is Mia?,bathroom,bathroom,True,317.0
gpt-4.1,5,5,mood,How does Mia feel?,excited,excited,True,317.0
gpt-4.1,5,5,holding,What is Mia holding?,nothing,nothing,True,317.0
gpt-4.1,5,5,location,Where is Ivy?,library,library,True,317.0
gpt-4.1,5,5,mood,How does Ivy feel?,excited,excited,True,317.0
gpt-4.1,5,5,holding,What is Ivy holding?,nothing,nothing,True,317.0
gpt-4.1,5,5,location,Where is Carol?,bathroom,bathroom,True,317.0
gpt-4.1,5,5,mood,How does Carol feel?,tired,tired,True,317.0
gpt-4.1,5,5,holding,What is Carol holding?,nothing,nothing,True,317.0
gpt-4.1,5,5,location,Where is Rachel?,garden,garden,True,317.0
gpt-4.1,5,5,mood,How does Rachel feel?,happy,happy,True,317.0
gpt-4.1,5,5,holding,What is Rachel holding?,nothing,nothing,True,317.0
gpt-4.1,5,5,location,Where is Sophia?,garden,garden,True,317.0
gpt-4.1,5,5,mood,How does Sophia feel?,confident,confident,True,317.0
gpt-4.1,5,5,holding,What is Sophia holding?,nothing,nothing,True,317.0
gpt-4.1,5,5,location,Where is Uma?,garden,garden,True,317.0
gpt-4.1,5,5,mood,How does Uma feel?,happy,happy,True,317.0
gpt-4.1,5,5,holding,What is Uma holding?,coin,coin,True,317.0
gpt-4.1,5,5,location,Where is Peter?,bedroom,bedroom,True,317.0
gpt-4.1,5,5,mood,How does Peter feel?,calm,calm,True,317.0
gpt-4.1,5,5,holding,What is Peter holding?,nothing,nothing,True,317.0
gpt-4.1,5,5,location,Where is Ruby?,office,office,True,317.0
gpt-4.1,5,5,mood,How does Ruby feel?,happy,happy,True,317.0
gpt-4.1,5,5,holding,What is Ruby holding?,nothing,nothing,True,317.0
gpt-4.1,5,5,location,Where is Yara?,basement,basement,True,317.0
gpt-4.1,5,5,mood,How does Yara feel?,tired,tired,True,317.0
gpt-4.1,5,5,holding,What is Yara holding?,nothing,nothing,True,317.0
gpt-4.1,5,5,location,Where is Grace?,bedroom,bedroom,True,317.0
gpt-4.1,5,5,mood,How does Grace feel?,tired,tired,True,317.0
gpt-4.1,5,5,holding,What is Grace holding?,nothing,nothing,True,317.0
gpt-4.1,5,5,location,Where is Peter?,hallway,hallway,True,328.0
gpt-4.1,5,5,mood,How does Peter feel?,tired,tired,True,328.0
gpt-4.1,5,5,holding,What is Peter holding?,nothing,nothing,True,328.0
gpt-4.1,5,5,location,Where is Kate?,bedroom,bedroom,True,328.0
gpt-4.1,5,5,mood,How does Kate feel?,tired,tired,True,328.0
gpt-4.1,5,5,holding,What is Kate holding?,nothing,nothing,True,328.0
gpt-4.1,5,5,location,Where is Wendy?,kitchen,kitchen,True,328.0
gpt-4.1,5,5,mood,How does Wendy feel?,calm,calm,True,328.0
gpt-4.1,5,5,holding,What is Wendy holding?,nothing,nothing,True,328.0
gpt-4.1,5,5,location,Where is Carol?,library,library,True,328.0
gpt-4.1,5,5,mood,How does Carol feel?,confident,confident,True,328.0
gpt-4.1,5,5,holding,What is Carol holding?,book,book,True,328.0
gpt-4.1,5,5,location,Where is Zack?,kitchen,kitchen,True,328.0
gpt-4.1,5,5,mood,How does Zack feel?,confident,confident,True,328.0
gpt-4.1,5,5,holding,What is Zack holding?,nothing,nothing,True,328.0
gpt-4.1,5,10,location,Where is Liam?,kitchen,kitchen,True,432.0
gpt-4.1,5,10,mood,How does Liam feel?,nervous,nervous,True,432.0
gpt-4.1,5,10,holding,What is Liam holding?,nothing,nothing,True,432.0
gpt-4.1,5,10,location,Where is Rachel?,library,library,True,432.0
gpt-4.1,5,10,mood,How does Rachel feel?,curious,curious,True,432.0
gpt-4.1,5,10,holding,What is Rachel holding?,nothing,nothing,True,432.0
gpt-4.1,5,10,location,Where is Kate?,library,library,True,432.0
gpt-4.1,5,10,mood,How does Kate feel?,nervous,nervous,True,432.0
gpt-4.1,5,10,holding,What is Kate holding?,nothing,nothing,True,432.0
gpt-4.1,5,10,location,Where is Uma?,library,library,True,432.0
gpt-4.1,5,10,mood,How does Uma feel?,curious,curious,True,432.0
gpt-4.1,5,10,holding,What is Uma holding?,nothing,nothing,True,432.0
gpt-4.1,5,10,location,Where is Ivy?,bathroom,bathroom,True,432.0
gpt-4.1,5,10,mood,How does Ivy feel?,curious,curious,True,432.0
gpt-4.1,5,10,holding,What is Ivy holding?,nothing,nothing,True,432.0
gpt-4.1,5,10,location,Where is Victor?,library,library,True,433.0
gpt-4.1,5,10,mood,How does Victor feel?,nervous,nervous,True,433.0
gpt-4.1,5,10,holding,What is Victor holding?,key,key,True,433.0
gpt-4.1,5,10,location,Where is Liam?,basement,basement,True,433.0
gpt-4.1,5,10,mood,How does Liam feel?,nervous,nervous,True,433.0
gpt-4.1,5,10,holding,What is Liam holding?,nothing,nothing,True,433.0
gpt-4.1,5,10,location,Where is Alice?,library,library,True,433.0
gpt-4.1,5,10,mood,How does Alice feel?,happy,happy,True,433.0
gpt-4.1,5,10,holding,What is Alice holding?,ball,ball,True,433.0
gpt-4.1,5,10,location,Where is Ruby?,bathroom,bathroom,True,433.0
gpt-4.1,5,10,mood,How does Ruby feel?,nervous,nervous,True,433.0
gpt-4.1,5,10,holding,What is Ruby holding?,nothing,nothing,True,433.0
gpt-4.1,5,10,location,Where is Noah?,garden,garden,True,433.0
gpt-4.1,5,10,mood,How does Noah feel?,excited,excited,True,433.0
gpt-4.1,5,10,holding,What is Noah holding?,bag,bag,True,433.0
gpt-4.1,5,10,location,Where is Liam?,kitchen,kitchen,True,445.0
gpt-4.1,5,10,mood,How does Liam feel?,calm,calm,True,445.0
gpt-4.1,5,10,holding,What is Liam holding?,nothing,nothing,True,445.0
gpt-4.1,5,10,location,Where is Henry?,bathroom,bathroom,True,445.0
gpt-4.1,5,10,mood,How does Henry feel?,sad,sad,True,445.0
gpt-4.1,5,10,holding,What is Henry holding?,nothing,nothing,True,445.0
gpt-4.1,5,10,location,Where is Bob?,bedroom,bedroom,True,445.0
gpt-4.1,5,10,mood,How does Bob feel?,confident,confident,True,445.0
gpt-4.1,5,10,holding,What is Bob holding?,nothing,nothing,True,445.0
gpt-4.1,5,10,location,Where is Victor?,bathroom,bathroom,True,445.0
gpt-4.1,5,10,mood,How does Victor feel?,excited,excited,True,445.0
gpt-4.1,5,10,holding,What is Victor holding?,nothing,nothing,True,445.0
gpt-4.1,5,10,location,Where is Tina?,basement,basement,True,445.0
gpt-4.1,5,10,mood,How does Tina feel?,sad,sad,True,445.0
gpt-4.1,5,10,holding,What is Tina holding?,nothing,nothing,True,445.0
gpt-4.1,5,20,location,Where is Uma?,kitchen,kitchen,True,643.0
gpt-4.1,5,20,mood,How does Uma feel?,nervous,nervous,True,643.0
gpt-4.1,5,20,holding,What is Uma holding?,nothing,nothing,True,643.0
gpt-4.1,5,20,location,Where is Carol?,kitchen,kitchen,True,643.0
gpt-4.1,5,20,mood,How does Carol feel?,calm,calm,True,643.0
gpt-4.1,5,20,holding,What is Carol holding?,coin,coin,True,643.0
gpt-4.1,5,20,location,Where is Victor?,kitchen,kitchen,True,643.0
gpt-4.1,5,20,mood,How does Victor feel?,excited,excited,True,643.0
gpt-4.1,5,20,holding,What is Victor holding?,bag,bag,True,643.0
gpt-4.1,5,20,location,Where is Olivia?,library,library,True,643.0
gpt-4.1,5,20,mood,How does Olivia feel?,tired,tired,True,643.0
gpt-4.1,5,20,holding,What is Olivia holding?,nothing,nothing,True,643.0
gpt-4.1,5,20,location,Where is Luna?,office,office,True,643.0
gpt-4.1,5,20,mood,How does Luna feel?,sad,sad,True,643.0
gpt-4.1,5,20,holding,What is Luna holding?,nothing,nothing,True,643.0
gpt-4.1,5,20,location,Where is Henry?,basement,basement,True,660.0
gpt-4.1,5,20,mood,How does Henry feel?,confident,confident,True,660.0
gpt-4.1,5,20,holding,What is Henry holding?,nothing,nothing,True,660.0
gpt-4.1,5,20,location,Where is Uma?,office,office,True,660.0
gpt-4.1,5,20,mood,How does Uma feel?,sad,sad,True,660.0
gpt-4.1,5,20,holding,What is Uma holding?,umbrella,umbrella,True,660.0
gpt-4.1,5,20,location,Where is Xavier?,basement,basement,True,660.0
gpt-4.1,5,20,mood,How does Xavier feel?,curious,curious,True,660.0
gpt-4.1,5,20,holding,What is Xavier holding?,nothing,nothing,True,660.0
gpt-4.1,5,20,location,Where is Ivy?,bedroom,bedroom,True,660.0
gpt-4.1,5,20,mood,How does Ivy feel?,happy,happy,True,660.0
gpt-4.1,5,20,holding,What is Ivy holding?,nothing,nothing,True,660.0
gpt-4.1,5,20,location,Where is Wendy?,bedroom,bedroom,True,660.0
gpt-4.1,5,20,mood,How does Wendy feel?,sad,sad,True,660.0
gpt-4.1,5,20,holding,What is Wendy holding?,nothing,nothing,True,660.0
gpt-4.1,5,20,location,Where is Bob?,office,office,True,657.0
gpt-4.1,5,20,mood,How does Bob feel?,excited,excited,True,657.0
gpt-4.1,5,20,holding,What is Bob holding?,nothing,nothing,True,657.0
gpt-4.1,5,20,location,Where is Emma?,office,office,True,657.0
gpt-4.1,5,20,mood,How does Emma feel?,calm,calm,True,657.0
gpt-4.1,5,20,holding,What is Emma holding?,nothing,nothing,True,657.0
gpt-4.1,5,20,location,Where is Tina?,bathroom,bathroom,True,657.0
gpt-4.1,5,20,mood,How does Tina feel?,happy,happy,True,657.0
gpt-4.1,5,20,holding,What is Tina holding?,nothing,nothing,True,657.0
gpt-4.1,5,20,location,Where is Ruby?,hallway,hallway,True,657.0
gpt-4.1,5,20,mood,How does Ruby feel?,sad,sad,True,657.0
gpt-4.1,5,20,holding,What is Ruby holding?,coin,coin,True,657.0
gpt-4.1,5,20,location,Where is Frank?,hallway,hallway,True,657.0
gpt-4.1,5,20,mood,How does Frank feel?,nervous,nervous,True,657.0
gpt-4.1,5,20,holding,What is Frank holding?,book,book,True,657.0
gpt-4.1,6,5,location,Where is Quinn?,garden,garden,True,361.0
gpt-4.1,6,5,mood,How does Quinn feel?,nervous,nervous,True,361.0
